PathogenGenus,SampleSite,Link_to_Studies,Doc_Search_Phrase,AMC - Amoxicillin/clavulanic acid_Tested,AMK - Amikacin_Tested,AMP - Ampicillin_Tested,CAZ - Ceftazidim_Tested,CEP - Cefepim_Tested,CIP - Ciprofloxacin_Tested,CLI - Clindamycin_Tested,COL - Colistin_Tested,CRO - Ceftriaxon_Tested,CTX - Cefotaxim_Tested,CXM - Cefuroxim_Tested,DAL - Dalbavancin_Tested,DOX - Doxycyclin_Tested,DPT - Daptomycin_Tested,ERT - Ertapenem_Tested,ERY - Erythromycin_Tested,FOS - Fosfomycin_Tested,FOX - Cefoxitin_Tested,GEN - Gentamicin_Tested,GHL - Gentamicin 500 (high level)_Tested,IMP - Imipenem_Tested,LEV - Levofloxacin_Tested,LIZ - Linezolid_Tested,MER - Meropenem_Tested,MNO - Minocyclin_Tested,MOX - Moxifloxacin_Tested,NAL - Nalidixic acid_Tested,NFT - Nitrofurantoin_Tested,NOR - Norfloxacin_Tested,OFX - Ofloxacin_Tested,ORI - Oritavancin_Tested,OXA - Oxacillin_Tested,PEF - Pefloxacin_Tested,PEN - Benzylpenicillin_Tested,PEN - Penicillin_Tested,PIT - Piperacillin/Tazobactam_Tested,SHL - Streptomycin 1000 (high level)_Tested,SXT - Co-Trimoxazol_Tested,TEL - Telavancin_Tested,TET - Tetracyclin_Tested,TET - Tetracycline_Tested,TGC - Tigecyclin_Tested,TOB - Tobramycin_Tested,TPL - Teicoplanin_Tested,VAN - Vancomycin_Tested
Staphylococcus,Blood Culture,"EUCAST Expert Rules v3.2 (Staphylococcus, 2023)",cefoxitin screening for MRSA; erythromycin/clindamycin (inducible MLSB); norfloxacin screening,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
Streptococcus pneumoniae,Blood Culture,"EUCAST Expert Rules v3.2 (Pneumococcus, 2019)",oxacillin (disk) screening; norfloxacin screening; tetracycline indicator; vancomycin → glycopeptides,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Streptococcus (A/B/C/G),Blood Culture,"EUCAST Expert Rules v3.2 (Streptococcus, 2019)",norfloxacin screening for FQs; gentamicin—synergy/endocarditis rule,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmonella,Blood Culture,"EUCAST Expert Rules v3.2 (Salmonella, 2019)",pefloxacin 5 µg disk or ciprofloxacin MIC >0.06 mg/L screen; aminoglycosides ineffective; 2nd-gen ceph caution,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moraxella catarrhalis,Respiratory,"EUCAST Expert Rules v3.2 (Moraxella, 2019)",nalidixic acid screening test for fluoroquinolones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Haemophilus influenzae,Respiratory,"EUCAST Expert Rules v1 (2008), Table 10",ampicillin class rep for amoxicillin; BLNAR/BLPACR β-lactam decision rules,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escherichia,Urine,/mnt/data/Expert_rules_intrinsic_exceptional_V3.1.pdf | /mnt/data/Expected_Phenotypes_Tables_v4.0_20220211.pdf,intrinsic resistance Enterobacterales macrolides lincosamides glycopeptides rifampicin daptomycin linezolid; expected susceptible colistin,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
Escherichia,Blood Culture,/mnt/data/Expert_rules_intrinsic_exceptional_V3.1.pdf | /mnt/data/Expected_Phenotypes_Tables_v4.0_20220211.pdf,intrinsic resistance Enterobacterales macrolides lincosamides glycopeptides rifampicin daptomycin linezolid; expected susceptible colistin,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
Klebsiella,Urine,/mnt/data/Expert_rules_intrinsic_exceptional_V3.1.pdf,Klebsiella pneumoniae intrinsic ampicillin; Enterobacterales intrinsic to macrolides/lincosamides/glycopeptides,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
Klebsiella,Blood Culture,/mnt/data/Expert_rules_intrinsic_exceptional_V3.1.pdf,Klebsiella pneumoniae intrinsic ampicillin; Enterobacterales intrinsic to macrolides/lincosamides/glycopeptides,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
Enterobacter,Blood Culture,/mnt/data/ExpertRules_V3.3_20240630_Enterobacterales.pdf | /mnt/data/Expert_rules_intrinsic_exceptional_V3.1.pdf,Enterobacter (AmpC) interpretive rules; Enterobacterales intrinsic to macrolides/lincosamides/glycopeptides,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
Proteus,Urine,/mnt/data/Expert_rules_intrinsic_exceptional_V3.1.pdf,Proteus spp. intrinsic resistance to nitrofurantoin and polymyxins (Morganellaceae),1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
Pseudomonas,Swab,/mnt/data/Expected_Phenotypes_Tables_v4.0_20220211.pdf | /mnt/data/Expert_rules_intrinsic_exceptional_V3.1.pdf,P. aeruginosa: test anti-pseudomonal (PIT/CAZ/CEP/MER/IMP/AMK/TOB/CIP/LEV); third-gen cephs (CTX) meaningless; nitrofurantoin/fosfomycin not active; colistin active (resistance not expected),0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Pseudomonas,Blood Culture,/mnt/data/Expected_Phenotypes_Tables_v4.0_20220211.pdf | /mnt/data/Expert_rules_intrinsic_exceptional_V3.1.pdf,"as above; bloodstream focus on anti-pseudomonal β-lactams, carbapenems, aminoglycosides, fluoroquinolones; CTX/FOS/NFT not used",0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Acinetobacter,Blood Culture,/mnt/data/Expected_Resistant_Phenotypes_v1.1_20220325.pdf,A. baumannii expected resistant to many classes incl. fluoroquinolones; test carbapenems/amikacin/gentamicin/tigecycline/colistin,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Staphylococcus,Blood Culture,/mnt/data/Staphylococcus_ExpertRules_V3.2_20230201.pdf | /mnt/data/Expected_Susceptible_Phenotypes_Tables_v1.1_20220325.pdf,"MRSA screening (oxacillin/cefoxitin concept); staph expected susceptible to glycopeptides/linezolid/daptomycin; typical test: OXA, PEN, CIP, CLI, ERY, GEN, SXT, TET, VAN, LIZ, DPT, TPL",0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0
Enterococcus,Blood Culture,/mnt/data/ExpertRules_V3.3_20240630_Enterococcus.pdf,high-level aminoglycoside synergy (GHL/SHL); vancomycin/linezolid/daptomycin/teicoplanin; ampicillin/penicillin for faecalis; FQ norfloxacin screen only for UTI,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
